,rank,title,artist,date,streams,week
174,175,3x3,Gruppa Skryptonite,31/08/2020,"64,567",24/08/20 - 30/08/20
175,176,Сердце Лёд,Cream Soda,31/08/2020,"64,558",24/08/20 - 30/08/20
176,177,I Got Love,MiyaGi & Endspiel,31/08/2020,"64,238",24/08/20 - 30/08/20
177,178,ВЕСНУШКИ,Tima Belorusskih,31/08/2020,"64,064",24/08/20 - 30/08/20
178,179,На своём вайбе (feat. Гуф),Jah Khalib,31/08/2020,"63,825",24/08/20 - 30/08/20
179,180,Животные,Scriptonite,31/08/2020,"63,408",24/08/20 - 30/08/20
180,181,Разнесем,Max Korzh,31/08/2020,"63,227",24/08/20 - 30/08/20
181,182,God’s Menu,Stray Kids,31/08/2020,"63,159",24/08/20 - 30/08/20
182,183,Французский поцелуй,Misha Marvin,31/08/2020,"63,069",24/08/20 - 30/08/20
183,184,Пряталась в ванной,Mari Kraimbrery,31/08/2020,"63,052",24/08/20 - 30/08/20
184,185,Буду,DK,31/08/2020,"62,711",24/08/20 - 30/08/20
185,186,Head & Heart (feat. MNEK),Joel Corry,31/08/2020,"62,342",24/08/20 - 30/08/20
186,187,death bed (coffee for your head),Powfu,31/08/2020,"62,338",24/08/20 - 30/08/20
187,188,Россия для грустных,Pornofilmy,31/08/2020,"62,065",24/08/20 - 30/08/20
188,189,Хочу перемен,Kino,31/08/2020,"61,996",24/08/20 - 30/08/20
189,190,Я так соскучился,Pornofilmy,31/08/2020,"61,795",24/08/20 - 30/08/20
190,191,Никаких Больше Вечеринок,Cream Soda,31/08/2020,"61,536",24/08/20 - 30/08/20
191,192,Двигаться,Raim,31/08/2020,"61,441",24/08/20 - 30/08/20
192,193,Девочка танцуй,Artik & Asti,31/08/2020,"61,423",24/08/20 - 30/08/20
193,194,Пачка сигарет,Kino,31/08/2020,"61,229",24/08/20 - 30/08/20
194,195,Веселей,Scriptonite,31/08/2020,"61,094",24/08/20 - 30/08/20
195,196,Остров,МЫ,31/08/2020,"61,071",24/08/20 - 30/08/20
196,197,Мы открываем бизнес (Skit),SHOOVAL,31/08/2020,"60,872",24/08/20 - 30/08/20
197,198,bad guy,Billie Eilish,31/08/2020,"60,718",24/08/20 - 30/08/20
198,199,Say No Mo,kizaru,31/08/2020,"60,594",24/08/20 - 30/08/20
199,200,Фас,MATRANG,31/08/2020,"59,979",24/08/20 - 30/08/20
