,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
148,25,Coco L'Eau,"Егор Крид, The Limba",02/09/20 - 08/09/20,48.714,,,,
149,26,Fendi,Rakhim,02/09/20 - 08/09/20,49.571000000000005,,,,
150,27,Двигаться,RaiM,02/09/20 - 08/09/20,51.357,,,,
151,28,Там ревели горы,Miyagi & Andy Panda,02/09/20 - 08/09/20,51.643,,,,
152,29,Ананасовый сироп,Natan & Ганвест,02/09/20 - 08/09/20,52.357,,,,
153,30,Любимка,NILETTO,02/09/20 - 08/09/20,54.0,,,,
154,31,Ты беспощадна,JONY,02/09/20 - 08/09/20,55.428999999999995,,,,
155,32,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,02/09/20 - 08/09/20,55.928999999999995,,,,
156,33,Если тебе будет грустно,"Rauf & Faik, NILETTO",02/09/20 - 08/09/20,56.428999999999995,,,,
157,34,UNO,Little Big,02/09/20 - 08/09/20,57.214,,,,
158,35,August,Intelligency,02/09/20 - 08/09/20,58.357,,,,
159,36,Credo,Zivert,02/09/20 - 08/09/20,58.928999999999995,,,,
160,37,Комета,JONY,02/09/20 - 08/09/20,59.214,,,,
161,38,Тепло,Макс Корж,02/09/20 - 08/09/20,59.643,,,,
162,39,Все мимо,Artik & Asti,02/09/20 - 08/09/20,60.214,,,,
163,40,Если тебе будет грустно,"NILETTO, Rauf & Faik",02/09/20 - 08/09/20,60.571000000000005,,,,
164,41,Beverly Hills,Zivert,02/09/20 - 08/09/20,61.071000000000005,,,,
165,42,Пикачу,Mia Boyka & ЕГОР ШИП,02/09/20 - 08/09/20,62.143,,,,
166,43,Луна не знает пути,"Тайпан, Agunda",02/09/20 - 08/09/20,62.714,,,,
167,44,Зачем топтать мою любовь,"DJ Nejtrino, Elia",02/09/20 - 08/09/20,62.857,,,,
168,45,Прятки,HammAli & Navai,02/09/20 - 08/09/20,63.0,,,,
169,46,Малиновый закат (Remix),"Lvnx, ANAMUN",02/09/20 - 08/09/20,64.143,,,,
170,47,На своём вайбе,"Jah Khalib, GUF",02/09/20 - 08/09/20,64.143,,,,
171,48,Океан,Мари Краймбрери,02/09/20 - 08/09/20,64.714,,,,
172,49,Life,Zivert,02/09/20 - 08/09/20,67.143,,,,
173,50,F..k that,Bastard!,02/09/20 - 08/09/20,68.714,,,,
174,51,Грустный дэнс,"Artik & Asti, Артём Качер",02/09/20 - 08/09/20,68.929,,,,
175,52,На тебя смотрю,"Jah Khalib, ВесЪ",02/09/20 - 08/09/20,70.643,,,,
176,53,Kings & Queens,Ava Max,02/09/20 - 08/09/20,72.929,,,,
177,54,Hypnodancer,Little Big,02/09/20 - 08/09/20,73.357,,,,
178,55,Выхода нет,Сплин,02/09/20 - 08/09/20,73.429,,,,
179,56,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",02/09/20 - 08/09/20,74.643,,,,
180,57,Зелёные волны,Zivert,02/09/20 - 08/09/20,74.643,,,,
181,58,Не смогу,"VERBEE, KARA KROSS",02/09/20 - 08/09/20,75.071,,,,
182,59,Вали,Канги,02/09/20 - 08/09/20,75.571,,,,
183,60,Кукла колдуна,Король и Шут,02/09/20 - 08/09/20,78.5,,,,
184,61,ICE,MORGENSHTERN,02/09/20 - 08/09/20,79.571,,,,
185,62,Ну чё ты такой хороший?,Асия,02/09/20 - 08/09/20,80.5,,,,
186,63,Психушка,Karna.val,02/09/20 - 08/09/20,80.714,,,,
187,64,По кайфу,Олег Кензов,02/09/20 - 08/09/20,80.714,,,,
188,65,BALENCIAGA,FILV,02/09/20 - 08/09/20,80.714,,,,
189,66,Пряталась в ванной,Мари Краймбрери,02/09/20 - 08/09/20,81.429,,,,
190,67,A Million On My Soul (Remix),"Moses, EMR3YGUL, Alexiane",02/09/20 - 08/09/20,82.071,,,,
191,68,#ПеретанцуйМеня,Артур Пирожков,02/09/20 - 08/09/20,83.786,,,,
192,69,В последний раз,Тима Белорусских,02/09/20 - 08/09/20,83.85700000000001,,,,
193,70,Сансара,"Баста, Скриптонит, Сергей Бобунец, Диана Арбенина, Ант, SunSay",02/09/20 - 08/09/20,84.64299999999999,,,,
